name_of_drug,use_case_for_drug,review_by_patient
Escitalopram,Depression,"""I am a 31 year old male. Lexapro was prescribed because of depression and anxiety. Before this medication I wanted to do nothing but sleep all day and eat to comfort myself when I wasn&#039;t sleeping. It was affecting my marriage, my ability as a father, and my business. (I am a Realtor) Since starting this drug two weeks ago at 10mg daily, I am a new man. Within 3 to 4 days I noticed a difference. I now feel 10 years younger. I have a renewed love of life and my family. I give it 9 out of 10 because it does cause some nausea and drowsiness, so I just take it before bed. NO ADVERSE SEXUAL ISSUES...I actually can&#039;t keep my hands off of my wife now!"""
Voltaren,Rheumatoid Arthritis,"""The doctor prescribed me this medicine to take for a week. It helps to reduce the pain for only short period of time. The good thing is I don&#039;t get any side effects except mild diarrhea."""
Ortho Evra,Birth Control,"""I took this for one to two years. I switched from Ortho Novum 7-7-7 and had no problems with it. My biggest fear was that the patch would come off. I had a couple of them with corners lifing but they never came off (infact it could be painful when you took it off). I came off it to have a baby. I stopped using it in Mid January and was pregnant in February. The patches always leave a &quot;goo&quot; around them. Use alcohol to get it off - normal washing doesn&#039;t work."""
Fentanyl,Pain,"""No side effects.  In the beginning, they didn&#039;t help much at all and my pain management specialist (neurologist) had to increase my dosage quite a few times until we found a level sustainable.  I am now not as confined to my couch or bed like before.  Original dosage began: 12.5mcg 72 hours but no impact in controlling my pain level.  My current dose is 75mcg/48hrs.  I am opiate tolerant and will probably be increased to 100mcg.  In addition to Fentanyl, I also take Norco 10-325mg 6xday, Carisoprodol 350mg 4xday, Xanax 1mg at least 1xday and will start taking Chantix to stop smoking next week (Nov. 30, 2009).  I haven&#039;t had any bad side effects from Fentanyl. I like the Mylan brand better as it doesn&#039;t irritate my skin."""
Bupropion,Depression,"""31 years old and have never taken any kind of medication other than birth control.  Recently went through some tough stuff and finally broke down after almost a year of feeling terrible and talked to my doctor.  Started taking Wellbutrin about a month ago and I haven&#039;t felt this good in years.  I started feeling better almost immediately.  I am motivated and focused and like my old self again. In addition I stopped smoking completely about a week after I first started taking it. Only negatives are I am having a REALLY hard time getting enough sleep and the dry mouth is bad but only on occasion. I really hope that the insomnia gets better because although I feel great, I know it can&#039;t be good to have such little sleep long term."""
Mirena,Birth Control,"""I have to say.. After reading reviews I was a little terrified to get Mirena inserted. However, my ob is really good and it wasn&#039;t a big deal at all! It was uncomfortable like a pap but it was done within a few mins.  I gave birth 8 weeks ago and he said this was a good time to get it inserted because my cervix is still soft. So maybe that&#039;s why it was no big deal for me? So far, no cramping, slight spotting. I&#039;m not sure about the long term effects of the mirena because I&#039;ve only had it in a week. So far, so good!"""
Loratadine / pseudoephedrine,Nasal Congestion,"""I took Claritin D this morning because of severe nasal congestion, it was relieved after few hours but the side effects is not good, I can&#039;t sleep. I am so tired and want to rest but I am still wide awake until 1am. How I wish, I read the reviews first before taking it..so no more Claritin D...I will go back to Allegra."""
Paroxetine,Panic Disorde,"""I have been on Paxil 6 weeks now. I am feeling so much better it is a miracle. In this experience I realized that I had some issues that I needed to face and some grudges that I needed to let go that had built up over the years. I thought that I would never experience another normal day again because my anxiety attacks and depression were so severe I thought my life was over. I tried to avoid taking medicines and fighting my anxiety off myself but anxiety started to take over my life. """
Triumeq,HIV Infection,"""Triumeq is working as an HIV medication - but I am gaining weight."""
Proctofoam HC,Hemorrhoids,"""Pretty quick pain release, combined with high doses of Ibuprofen is quickly effective ."""
Axert,Migraine,"""I take 200 mg of Topamax daily.  I have tried Imitrex, Relpax and Maxalt.  Maxalt was okay. I have had no side-effects with Axert.  It usually relieves my migraines within 10-15 minutes maximum."""
Isotretinoin,Acne,"""I&#039;ve been on Claravis for 15 days today, and so far there is no improvement. After about 10 days of use, I broke out very badly. Everybody that&#039;s saying they&#039;ve already improved after a week or two couldn&#039;t have had very bad acne to begin with. The doctor said that results won&#039;t start appearing at all until at least 3-4 weeks, but at this rate, I don&#039;t think I&#039;ll be seeing any soon. I have pretty severe acne, and have ever since 7th grade (I&#039;m a senior now). My side affects at this point are very dry skin - particularly the nose, mustache area, chin, and lips - I have slight muscle aches in my back and neck that I didn&#039;t have before, and I&#039;ve been getting an abnormal amount of bloody noses since I started (at least twice a day.)"""
Lorcaserin,Obesity,"""I started Belviq 8 days ago. I did experience dizziness, headaches and tiredness for the first few days but now I&#039;m back to normal and down 8.5 pounds!  What&#039;s even better is that not only is my appetite gone, I also get full very quickly so even when I&#039;m not eating as healthy, I only get between 1/4 and 1/2 (if even), which means I still lose weight."""
Nexplanon,Birth Control,"""I&#039;ve had this form of bc 4 years now. About one year after using this product I started having mood swings feeling so weak and tired,but never thought about my Nexplanon having to be the blame! Making an appointment next week to have it removed!! I use to never take a nap after work now just about everyday I feel awful if
 I don&#039;t lay day to nap I fell sick to the stomach..I really want to feel like myself again..I would not recommend this BC"""
Norethindrone,Birth Control,"""I started taking Heather shortly after giving birth so that it wouldn&#039;t reduce my milk supply and I&#039;ve been taking it for over a year now. I am still breast-feeding and have not had a period this entire time. I&#039;ve also noticed that my moods are greatly restrained, meaning I almost never cry (even when I want to, like funerals), but I also don&#039;t get overly happy either. I&#039;ve been losing weight this whole time (still overweight), which may be related to the breast-feeding or not."""
